이름,지역,클래스,카테고리,국공립/시립,비용,연방문인원
삼성현역사문화관,경상북도,문화시설,박물관,공립,,44529.0
상주박물관,경상북도,문화시설,박물관,공립,,98478.0
상주동학교당유물전시관,경상북도,문화시설,박물관,공립,,5565.0
상주자전거박물관,경상북도,문화시설,박물관,공립,,101912.0
소수박물관,경상북도,문화시설,박물관,공립,,341635.0
안동민속박물관,경상북도,문화시설,박물관,공립,,136535.0
영일민속박물관,경상북도,문화시설,박물관,공립,,10372.0
영양산촌생활박물관,경상북도,문화시설,박물관,공립,,25000.0
예천박물관,경상북도,문화시설,박물관,공립,,
옛길박물관,경상북도,문화시설,박물관,공립,,46691.0
옥진각,경상북도,문화시설,박물관,공립,,254725.0
우륵박물관,경상북도,문화시설,박물관,공립,,31651.0
운강이강년기념관,경상북도,문화시설,박물관,공립,,12873.0
울진 봉평리 신라비 전시관,경상북도,문화시설,박물관,공립,,17100.0
의성조문국박물관,경상북도,문화시설,박물관,공립,,104038.0
인삼박물관,경상북도,문화시설,박물관,공립,,16159.0
전통문화콘텐츠박물관,경상북도,문화시설,박물관,공립,,19074.0
정기룡장군유물전시관,경상북도,문화시설,박물관,공립,,3875.0
청도박물관,경상북도,문화시설,박물관,공립,,49886.0
청송민속박물관,경상북도,문화시설,박물관,공립,,13613.0
청송수석꽃돌박물관,경상북도,문화시설,박물관,공립,,10197.0
칠곡호국평화기념관,경상북도,문화시설,박물관,공립,무료,162265.0
함창명주박물관,경상북도,문화시설,박물관,공립,,13391.0
청량산박물관,경상북도,문화시설,박물관,공립,,61255.0
총재박물관,경상북도,문화시설,박물관,공립,,27000.0
박열의사기념관,경상북도,문화시설,박물관,공립,,15053.0
경산공룡박물관,경상북도,문화시설,박물관,사립,,9850.0
경상북도독립운동기념관,경상북도,문화시설,박물관,사립,무료,27739.0
경상북도문화재연구원박물관,경상북도,문화시설,박물관,사립,,1520.0
경주테디베어박물관,경상북도,문화시설,박물관,사립,,62383.0
금오민속박물관,경상북도,문화시설,박물관,사립,,11003.0
보경사성보박물관,경상북도,문화시설,박물관,사립,,
부석사성보박물관,경상북도,문화시설,박물관,사립,,
불국사박물관,경상북도,문화시설,박물관,사립,,63791.0
안동소주박물관,경상북도,문화시설,박물관,사립,,31600.0
용문사성보유물관,경상북도,문화시설,박물관,사립,,25000.0
유교문화박물관,경상북도,문화시설,박물관,사립,,22215.0
은해사성보박물관,경상북도,문화시설,박물관,사립,,20446.0
잉카마야박물관,경상북도,문화시설,박물관,사립,,1530.0
직지성보박물관,경상북도,문화시설,박물관,사립,,6962.0
포스코역사박물관,경상북도,문화시설,박물관,사립,,80000.0
포항바다화석박물관,경상북도,문화시설,박물관,사립,,57850.0
하회세계탈박물관,경상북도,문화시설,박물관,사립,,553355.0
한국대중음악박물관,경상북도,문화시설,박물관,사립,,40000.0
안다미로귀때박물관,경상북도,문화시설,박물관,사립,,600.0
경북과학대학교 박물관,경상북도,문화시설,박물관,대학,,7200.0
경북대학교자연사박물관,경상북도,문화시설,박물관,대학,,10187.0
경주대학교 박물관,경상북도,문화시설,박물관,대학,,500.0
대구가톨릭대학교 역사박물관,경상북도,문화시설,박물관,대학,,4853.0
대구대학교 중앙박물관,경상북도,문화시설,박물관,대학,무료,14529.0
대구한의대학교 박물관,경상북도,문화시설,박물관,대학,,53590.0
동국대학교 경주캠퍼스 박물관,경상북도,문화시설,박물관,대학,,10000.0
안동대학교 박물관,경상북도,문화시설,박물관,대학,,7100.0
영남대학교 자연박물관,경상북도,문화시설,박물관,대학,,3595.0
영남대학교 박물관,경상북도,문화시설,박물관,대학,,15651.0
위덕대학교 박물관,경상북도,문화시설,박물관,대학,,1200.0
국립김해박물관,경상남도,문화시설,박물관,국립,무료,419661.0
국립진주박물관,경상남도,문화시설,박물관,국립,,444638.0
해군사관학교박물관,경상남도,문화시설,박물관,국립,,142733.0
거제어촌민속전시관,경상남도,문화시설,박물관,공립,,144521.0
거창박물관,경상남도,문화시설,박물관,공립,,23100.0
경상남도 산림박물관,경상남도,문화시설,박물관,공립,,317477.0
고성공룡박물관,경상남도,문화시설,박물관,공립,,253695.0
고성박물관,경상남도,문화시설,박물관,공립,,54140.0
고성수석전시관(휴관),경상남도,문화시설,박물관,공립,,222354.0
고성자연사박물관(휴관),경상남도,문화시설,박물관,공립,,222354.0
고성탈박물관,경상남도,문화시설,박물관,공립,,9189.0
김해목재문화박물관,경상남도,문화시설,박물관,공립,,62270.0
김해분청도자박물관,경상남도,문화시설,박물관,공립,,23878.0
김해민속박물관,경상남도,문화시설,박물관,공립,,31351.0
김해화포천습지 생태박물관,경상남도,문화시설,박물관,공립,,33313.0
남명기념관,경상남도,문화시설,박물관,공립,,53730.0
남해유배문학관,경상남도,문화시설,박물관,공립,,37050.0
대성동고분박물관,경상남도,문화시설,박물관,공립,,334947.0
목면시배유지,경상남도,문화시설,박물관,공립,,26281.0
밀양시립박물관,경상남도,문화시설,박물관,공립,,50685.0
박진전쟁기념관,경상남도,문화시설,박물관,공립,,19424.0
봉황동유적 패총단면전시관,경상남도,문화시설,박물관,공립,,14000.0
산청박물관,경상남도,문화시설,박물관,공립,,70979.0
산청한의학박물관,경상남도,문화시설,박물관,공립,,202130.0
성산패총전시관,경상남도,문화시설,박물관,공립,,10490.0
안동문화의집,경상남도,문화시설,박물관,공립,,17795.0
양산시립박물관,경상남도,문화시설,박물관,공립,,143993.0
웅천도요지전시관,경상남도,문화시설,박물관,공립,,23015.0
의병박물관,경상남도,문화시설,박물관,공립,무료,233157.0
지리산빨치산토벌전시관,경상남도,문화시설,박물관,공립,,9907.0
지리산역사관,경상남도,문화시설,박물관,공립,,3509.0
진영문화의집,경상남도,문화시설,박물관,공립,,41000.0
진주청동기문화박물관,경상남도,문화시설,박물관,공립,,61577.0
창녕박물관,경상남도,문화시설,박물관,공립,,50877.0
창녕비봉리패총전시관,경상남도,문화시설,박물관,공립,,5560.0
창원시립마산박물관,경상남도,문화시설,박물관,공립,,67435.0
창원시립진해박물관,경상남도,문화시설,박물관,공립,,95536.0
창원역사민속관,경상남도,문화시설,박물관,공립,,61167.0
통영시립박물관,경상남도,문화시설,박물관,공립,,23140.0
하동야생차박물관,경상남도,문화시설,박물관,공립,,54206.0
함안박물관,경상남도,문화시설,박물관,공립,,57599.0
함양박물관,경상남도,문화시설,박물관,공립,,70418.0
합천박물관,경상남도,문화시설,박물관,공립,,25000.0
항일독립운동가 주기철목사기념관,경상남도,문화시설,박물관,공립,,21690.0
진주익룡발자국전시관,경상남도,문화시설,박물관,공립,,19780.0
김해시수도박물관,경상남도,문화시설,박물관,공립,,11676.0
김해문화의집,경상남도,문화시설,박물관,공립,,37560.0
진영역철도박물관,경상남도,문화시설,박물관,공립,,7600.0
청마기념관,경상남도,문화시설,박물관,공립,,39795.0
거제민속박물관,경상남도,문화시설,박물관,사립,,10570.0
거제박물관,경상남도,문화시설,박물관,사립,,7200.0
김해한림박물관,경상남도,문화시설,박물관,사립,,5500.0
미리벌민속박물관,경상남도,문화시설,박물관,사립,,6391.0
산청산골박물관,경상남도,문화시설,박물관,사립,,10000.0
얼음골축음기소리박물관,경상남도,문화시설,박물관,사립,,17520.0
영산정사성보박물관,경상남도,문화시설,박물관,사립,,10000.0
옥천사성보박물관,경상남도,문화시설,박물관,사립,,3120.0
외도조경식물원,경상남도,문화시설,박물관,사립,,702685.0
일준부채박물관,경상남도,문화시설,박물관,사립,,2000.0
장사도해상공원,경상남도,문화시설,박물관,사립,,167775.0
장생도라지박물관,경상남도,문화시설,박물관,사립,,4700.0
진주어린이박물관,경상남도,문화시설,박물관,사립,,6000.0
토지주택박물관,경상남도,문화시설,박물관,사립,,30288.0
통도사성보박물관,경상남도,문화시설,박물관,사립,,
포로수용소유적박물관,경상남도,문화시설,박물관,사립,,465463.0
표충사호국박물관,경상남도,문화시설,박물관,사립,,80000.0
합천한의학박물관,경상남도,문화시설,박물관,사립,,17000.0
항공우주박물관,경상남도,문화시설,박물관,사립,,176000.0
해금강테마박물관,경상남도,문화시설,박물관,사립,,120000.0
해인사성보박물관,경상남도,문화시설,박물관,사립,,18565.0
경남대학교 박물관,경상남도,문화시설,박물관,대학,,2656.0
경상대학교 박물관,경상남도,문화시설,박물관,대학,,37072.0
인제대학교 박물관,경상남도,문화시설,박물관,대학,,1000.0
진주교육대학교 박물관,경상남도,문화시설,박물관,대학,,4000.0
창원대학교 박물관,경상남도,문화시설,박물관,대학,,26302.0
국립제주박물관,제주특별자치도,문화시설,박물관,국립,무료,363517.0
감귤박물관,제주특별자치도,문화시설,박물관,공립,,129000.0
김만덕기념관,제주특별자치도,문화시설,박물관,공립,무료,116694.0
설문대여성문화센터 여성역사문화전시관,제주특별자치도,문화시설,박물관,공립,,33255.0
제주4·3평화기념관,제주특별자치도,문화시설,박물관,공립,,418980.0
제주교육박물관,제주특별자치도,문화시설,박물관,공립,,43047.0
제주돌문화공원,제주특별자치도,문화시설,박물관,공립,,224670.0
제주특별자치도 민속자연사박물관,제주특별자치도,문화시설,박물관,공립,,390843.0
해녀박물관,제주특별자치도,문화시설,박물관,공립,,161450.0
제주세계자연유산센터 세계유산전시관,제주특별자치도,문화시설,박물관,공립,,67200.0
제주항일기념관,제주특별자치도,문화시설,박물관,공립,,153557.0
서복전시관,제주특별자치도,문화시설,박물관,공립,,
제주 삼양동 유적,제주특별자치도,문화시설,박물관,공립,,
한국야구명예의전당,제주특별자치도,문화시설,박물관,공립,,
제주목 관아,제주특별자치도,문화시설,박물관,공립,,209645.0
항몽유적지,제주특별자치도,문화시설,박물관,공립,,119456.0
한라산국립공원 산악박물관,제주특별자치도,문화시설,박물관,공립,,10000.0
제주건강과 性 박물관,제주특별자치도,문화시설,박물관,사립,,111073.0
테마공원 선녀와 나무꾼,제주특별자치도,문화시설,박물관,사립,,377568.0
넥슨컴퓨터박물관,제주특별자치도,문화시설,박물관,사립,2000,195248.0
메이즈뮤지움,제주특별자치도,문화시설,박물관,사립,,170000.0
믿거나말거나,제주특별자치도,문화시설,박물관,사립,무료,181245.0
방림원 식물원,제주특별자치도,문화시설,박물관,사립,무료,24160.0
본태박물관,제주특별자치도,문화시설,박물관,사립,,113530.0
생각하는 정원,제주특별자치도,문화시설,박물관,사립,,100000.0
석부작 박물관,제주특별자치도,문화시설,박물관,사립,무료,150000.0
세계술박물관,제주특별자치도,문화시설,박물관,사립,,22000.0
세계오지민속박물관,제주특별자치도,문화시설,박물관,사립,,35000.0
세계자동차&피아노박물관,제주특별자치도,문화시설,박물관,사립,,246589.0
세계조가비박물관,제주특별자치도,문화시설,박물관,사립,,80000.0
소인국테마파크 전시관,제주특별자치도,문화시설,박물관,사립,,360000.0
아프리카박물관,제주특별자치도,문화시설,박물관,사립,,90820.0
에코랜드,제주특별자치도,문화시설,박물관,사립,,1636000.0
여미지식물원,제주특별자치도,문화시설,박물관,사립,,300000.0
이랜드뮤지엄,제주특별자치도,문화시설,박물관,사립,,3000.0
일출랜드 식물원,제주특별자치도,문화시설,박물관,사립,,350000.0
제주민속촌,제주특별자치도,문화시설,박물관,사립,2000,288565.0
제주유리박물관,제주특별자치도,문화시설,박물관,사립,,40000.0
제주테디베어뮤지엄,제주특별자치도,문화시설,박물관,사립,,164000.0
제주 허브동산,제주특별자치도,문화시설,박물관,사립,,250000.0
제주 공룡랜드 전시관,제주특별자치도,문화시설,박물관,사립,,170000.0
세계미니어처 전시관,제주특별자치도,문화시설,박물관,사립,,35585.0
제주아이스뮤지엄 종합전시관,제주특별자치도,문화시설,박물관,사립,,486000.0
제주옹기박물관,제주특별자치도,문화시설,박물관,사립,,5000.0
제주커피박물관바움,제주특별자치도,문화시설,박물관,사립,,109000.0
제주항공우주박물관,제주특별자치도,문화시설,박물관,사립,무료,368684.0
제주해양동물박물관,제주특별자치도,문화시설,박물관,사립,,28692.0
조안베어뮤지엄,제주특별자치도,문화시설,박물관,사립,,73525.0
초콜릿박물관,제주특별자치도,문화시설,박물관,사립,,70000.0
카멜리아힐,제주특별자치도,문화시설,박물관,사립,,867000.0
테지움사파리,제주특별자치도,문화시설,박물관,사립,,170376.0
토이파크 뮤지엄,제주특별자치도,문화시설,박물관,사립,,36000.0
피규어 뮤지엄제주,제주특별자치도,문화시설,박물관,사립,,220000.0
한림공원,제주특별자치도,문화시설,박물관,사립,,487646.0
헬로키티아일랜드,제주특별자치도,문화시설,박물관,사립,,275000.0
휴애리,제주특별자치도,문화시설,박물관,사립,무료,4000000.0
SOS박물관,제주특별자치도,문화시설,박물관,사립,,21994.0
제주평화박물관(휴관),제주특별자치도,문화시설,박물관,사립,,
레오나르도 다빈치 과학박물관(휴관),제주특별자치도,문화시설,박물관,사립,,
보석앤화석박물관(휴관),제주특별자치도,문화시설,박물관,사립,,
탐라신화공원,제주특별자치도,문화시설,박물관,사립,,
닥종이 인형 전시관,제주특별자치도,문화시설,박물관,사립,,
파파월드,제주특별자치도,문화시설,박물관,사립,,
타임파크,제주특별자치도,문화시설,박물관,사립,,
제주대학교 박물관,제주특별자치도,문화시설,박물관,대학,,24065.0
