이름,지역,클래스,카테고리,세부분류
피퍼영화감상실,부산광역시,장소,문화시설,비디오/DVD감상실
디포시네마,광주광역시,장소,문화시설,비디오/DVD감상실
시네마엠디비디방,대구광역시,장소,문화시설,비디오/DVD감상실
팝스디브이디,경기도,장소,문화시설,비디오/DVD감상실
스타워즈,전라북도,장소,문화시설,비디오/DVD감상실
룩디비디,경상북도,장소,문화시설,비디오/DVD감상실
멀티플러스,전라남도,장소,문화시설,일반극장/영화관
다우존DVD영화관,경기도,장소,문화시설,비디오/DVD감상실
스타디브이디,전라남도,장소,문화시설,비디오/DVD감상실
로빈영상비디오,전라북도,장소,문화시설,비디오/DVD감상실
팝스DVD,서울특별시,장소,문화시설,비디오/DVD감상실
조이프래닛,경기도,장소,문화시설,비디오/DVD감상실
디브이디마기클럽,전라북도,장소,문화시설,비디오/DVD감상실
블루디브이디영화관,경기도,장소,문화시설,비디오/DVD감상실
21세기비디오방,경상남도,장소,문화시설,비디오/DVD감상실
MDVD,대구광역시,장소,문화시설,비디오/DVD감상실
매니아랜드영화관,인천광역시,장소,문화시설,비디오/DVD감상실
메가맥스,경기도,장소,문화시설,비디오/DVD감상실
스카이디브디영화관,대구광역시,장소,문화시설,비디오/DVD감상실
시네마테크협의회,서울특별시,장소,문화시설,일반극장/영화관
뉴욕비디오방,광주광역시,장소,문화시설,비디오/DVD감상실
DVD프로젝트영화방,경상북도,장소,문화시설,비디오/DVD감상실
조이DVD감상실,충청북도,장소,문화시설,비디오/DVD감상실
스타맥스스리디디브이디영화관,울산광역시,장소,문화시설,비디오/DVD감상실
테이크5디브이디,서울특별시,장소,문화시설,비디오/DVD감상실
시네마디브이디영화관소극장,경상남도,장소,문화시설,비디오/DVD감상실
팝스DVD영화관,강원도,장소,문화시설,비디오/DVD감상실
여우야DVD,대전광역시,장소,문화시설,비디오/DVD감상실
블루DVD영화관,인천광역시,장소,문화시설,비디오/DVD감상실
디브이디키네마,경기도,장소,문화시설,비디오/DVD감상실
벅스디브이디영화관,충청남도,장소,문화시설,비디오/DVD감상실
채널비디오감상실,경상북도,장소,문화시설,비디오/DVD감상실
휴디브이디영화관,인천광역시,장소,문화시설,비디오/DVD감상실
쇼디브이디,경기도,장소,문화시설,비디오/DVD감상실
스카이디지털영화관,경상남도,장소,문화시설,비디오/DVD감상실
시네마에스테마영화관,경상남도,장소,문화시설,비디오/DVD감상실
디지털영화관,광주광역시,장소,문화시설,비디오/DVD감상실
디지털영화관,대구광역시,장소,문화시설,비디오/DVD감상실
헐리우드디브이디시네마,제주특별자치도,장소,문화시설,비디오/DVD감상실
크림디브이디,대구광역시,장소,문화시설,비디오/DVD감상실
디브이디영화관,경상남도,장소,문화시설,비디오/DVD감상실
M앤GDVD영화관,경상북도,장소,문화시설,비디오/DVD감상실
현대디브이디방,서울특별시,장소,문화시설,비디오/DVD감상실
타인비디오방,부산광역시,장소,문화시설,비디오/DVD감상실
커플비디오방,대구광역시,장소,문화시설,비디오/DVD감상실
에버디브이디영화관,부산광역시,장소,문화시설,비디오/DVD감상실
사차원입체영화관,경상북도,장소,문화시설,비디오/DVD감상실
디지털영화관,강원도,장소,문화시설,비디오/DVD감상실
메가DVD영화관,부산광역시,장소,문화시설,비디오/DVD감상실
시네마디브이디상영관,충청북도,장소,문화시설,비디오/DVD감상실
오픈시네마,서울특별시,장소,문화시설,일반극장/영화관
팝스디브이디영화관,경상북도,장소,문화시설,비디오/DVD감상실
배우수업디브이디비디오방,전라북도,장소,문화시설,비디오/DVD감상실
대부비디오감상실,충청북도,장소,문화시설,비디오/DVD감상실
영화여행,경기도,장소,문화시설,비디오/DVD감상실
