이름,지역,클래스,카테고리,세부분류
조현화랑,부산광역시,장소,문화시설,기타전시/박물관
만해문학박물관,강원도,장소,문화시설,기타전시/박물관
무릉고서화미술박물관,강원도,장소,문화시설,기타전시/박물관
쌈지길,서울특별시,장소,문화시설,기타전시/박물관
마사박물관,경기도,장소,문화시설,기타전시/박물관
신세계상업사박물관,경기도,장소,문화시설,기타전시/박물관
무이예술관,강원도,장소,문화시설,기타전시/박물관
민물고기전시관,강원도,장소,문화시설,기타전시/박물관
어촌전시관,강원도,장소,문화시설,기타전시/박물관
BEXCO,부산광역시,장소,문화시설,컨벤션센터
스키박물관,강원도,장소,문화시설,기타전시/박물관
부산여자대학교차박물관,부산광역시,장소,문화시설,기타전시/박물관
패총전시관,부산광역시,장소,문화시설,기타전시/박물관
삼육대학교박물관,서울특별시,장소,문화시설,기타전시/박물관
대안공간반디,부산광역시,장소,문화시설,기타전시/박물관
공예품전시관,전라북도,장소,문화시설,기타전시/박물관
제주대학교아라캠퍼스박물관,제주특별자치도,장소,문화시설,기타전시/박물관
향토민속전시관,충청북도,장소,문화시설,기타전시/박물관
농업박물관,서울특별시,장소,문화시설,기타전시/박물관
노원문화예술회관,서울특별시,장소,문화시설,공연/연극/문화센터
나화랑,서울특별시,장소,문화시설,기타전시/박물관
목아박물관,경기도,장소,문화시설,기타전시/박물관
부천로보파크,경기도,장소,문화시설,기타전시/박물관
사람박물관얼굴,경기도,장소,문화시설,기타전시/박물관
삼성교통박물관,경기도,장소,문화시설,기타전시/박물관
세중돌박물관,경기도,장소,문화시설,기타전시/박물관
수원미술전시관,경기도,장소,문화시설,기타전시/박물관
스페이스이비뎀,경기도,장소,문화시설,기타전시/박물관
쌈지미술창고,경기도,장소,문화시설,기타전시/박물관
아주대학교박물관,경기도,장소,문화시설,기타전시/박물관
아트팩토리,경기도,장소,문화시설,기타전시/박물관
캐니빌리지,경기도,장소,문화시설,기타전시/박물관
여성생활사박물관,경기도,장소,문화시설,기타전시/박물관
여주잠사민속박물관,경기도,장소,문화시설,기타전시/박물관
우석헌자연사박물관,경기도,장소,문화시설,기타전시/박물관
양평들꽃수목원자연생태박물관,경기도,장소,문화시설,기타전시/박물관
필룩스조명박물관,경기도,장소,문화시설,기타전시/박물관
중남미문화원,경기도,장소,문화시설,기타전시/박물관
증권박물관,경기도,장소,문화시설,기타전시/박물관
충현박물관,경기도,장소,문화시설,기타전시/박물관
토지박물관,경기도,장소,문화시설,기타전시/박물관
한국기독교역사박물관,경기도,장소,문화시설,기타전시/박물관
항공우주박물관,경기도,장소,문화시설,기타전시/박물관
HASIII,경기도,장소,문화시설,기타전시/박물관
스토리빌,경기도,장소,문화시설,기타전시/박물관
경남대학교박물관,경상남도,장소,문화시설,기타전시/박물관
고성탈박물관,경상남도,장소,문화시설,기타전시/박물관
대안공간마루,경상남도,장소,문화시설,기타전시/박물관
지리산빨치산토벌전시관,경상남도,장소,문화시설,기타전시/박물관
창원대학교박물관,경상남도,장소,문화시설,기타전시/박물관
공예문화전시관,경상북도,장소,문화시설,기타전시/박물관
해군사관학교박물관,경상남도,장소,문화시설,기타전시/박물관
해금강테마박물관,경상남도,장소,문화시설,기타전시/박물관
해인사성보박물관,경상남도,장소,문화시설,기타전시/박물관
금오민속박물관,경상북도,장소,문화시설,기타전시/박물관
대구한의대학교삼성대구한의대박물관,경상북도,장소,문화시설,기타전시/박물관
동국대학교경주캠퍼스경주캠퍼스박물관,경상북도,장소,문화시설,기타전시/박물관
문경도자기전시관,경상북도,장소,문화시설,기타전시/박물관
안동소주박물관,경상북도,장소,문화시설,기타전시/박물관
삼사해상공원어촌전시관,경상북도,장소,문화시설,기타전시/박물관
위덕대학교박물관,경상북도,장소,문화시설,기타전시/박물관
직지성보박물관,경상북도,장소,문화시설,기타전시/박물관
서울여자대학교박물관,서울특별시,장소,문화시설,기타전시/박물관
우봉미술관,대구광역시,장소,문화시설,기타전시/박물관
출판박물관,서울특별시,장소,문화시설,기타전시/박물관
불교미술전시관,서울특별시,장소,문화시설,기타전시/박물관
장신구박물관,서울특별시,장소,문화시설,기타전시/박물관
덕포진박물관,경기도,장소,문화시설,기타전시/박물관
두루뫼박물관,경기도,장소,문화시설,기타전시/박물관
경희대학교국제캠퍼스혜정박물관,경기도,장소,문화시설,기타전시/박물관
규원,경기도,장소,문화시설,기타전시/박물관
김포다도박물관,경기도,장소,문화시설,기타전시/박물관
디자인체험관,경기도,장소,문화시설,기타전시/박물관
계명대학교행소박물관,대구광역시,장소,문화시설,기타전시/박물관
부산대학교박물관,부산광역시,장소,문화시설,기타전시/박물관
쉼박물관,서울특별시,장소,문화시설,기타전시/박물관
진흥아트홀,서울특별시,장소,문화시설,기타전시/박물관
국립현대미술관창동레지던시,서울특별시,장소,문화시설,기타전시/박물관
경북대학교대구캠퍼스박물관,대구광역시,장소,문화시설,기타전시/박물관
숭실대학교기독교박물관,서울특별시,장소,문화시설,기타전시/박물관
공간화랑,부산광역시,장소,문화시설,기타전시/박물관
남도향토음식박물관,광주광역시,장소,문화시설,기타전시/박물관
화폐박물관,대전광역시,장소,문화시설,기타전시/박물관
쇳대박물관,서울특별시,장소,문화시설,기타전시/박물관
옛터민속박물관,대전광역시,장소,문화시설,기타전시/박물관
지질박물관,대전광역시,장소,문화시설,기타전시/박물관
충남전기통신박물관,대전광역시,장소,문화시설,기타전시/박물관
충남대학교박물관,대전광역시,장소,문화시설,기타전시/박물관
대전보건대학교박물관,대전광역시,장소,문화시설,기타전시/박물관
장신구박물관,서울특별시,장소,문화시설,기타전시/박물관
성암고서박물관,서울특별시,장소,문화시설,기타전시/박물관
가나아트,서울특별시,장소,문화시설,기타전시/박물관
가나아트,서울특별시,장소,문화시설,기타전시/박물관
유리지공예관,서울특별시,장소,문화시설,기타전시/박물관
토포하우스,서울특별시,장소,문화시설,기타전시/박물관
한국미술박물관,서울특별시,장소,문화시설,기타전시/박물관
인천학생과학관,인천광역시,장소,문화시설,기타전시/박물관
다산유물전시관,전라남도,장소,문화시설,기타전시/박물관
호담우주전시관,전라남도,장소,문화시설,기타전시/박물관
북하우스,경기도,장소,문화시설,기타전시/박물관
성균관대학교박물관,서울특별시,장소,문화시설,기타전시/박물관
선화랑,서울특별시,장소,문화시설,소형갤러리
서울과학전시관,서울특별시,장소,문화시설,기타전시/박물관
경북대학교자연사박물관,경상북도,장소,문화시설,기타전시/박물관
건강과성박물관,제주특별자치도,장소,문화시설,기타전시/박물관
가천박물관,인천광역시,장소,문화시설,기타전시/박물관
경북과학대학교박물관,경상북도,장소,문화시설,기타전시/박물관
배재대학교대전캠퍼스박물관,대전광역시,장소,문화시설,기타전시/박물관
공항화랑,인천광역시,장소,문화시설,기타전시/박물관
밤가시초가,경기도,장소,문화시설,기타전시/박물관
한국민속촌박물관,경기도,장소,문화시설,기타전시/박물관
서강대학교박물관,서울특별시,장소,문화시설,기타전시/박물관
웅진교육박물관,충청남도,장소,문화시설,기타전시/박물관
전기박물관,서울특별시,장소,문화시설,기타전시/박물관
만들기체험학습장,서울특별시,장소,문화시설,기타전시/박물관
일주아트,서울특별시,장소,문화시설,소형갤러리
이화여자대학교자연사박물관,서울특별시,장소,문화시설,기타전시/박물관
이화아트센터,서울특별시,장소,문화시설,기타전시/박물관
이목화랑,서울특별시,장소,문화시설,소형갤러리
용인대학교박물관,경기도,장소,문화시설,기타전시/박물관
청화랑,서울특별시,장소,문화시설,기타전시/박물관
짚풀박물관,서울특별시,장소,문화시설,기타전시/박물관
초전섬유앤퀄트박물관,서울특별시,장소,문화시설,기타전시/박물관
인사미술공간,서울특별시,장소,문화시설,기타전시/박물관
인사아트센터,서울특별시,장소,문화시설,기타전시/박물관
서울대학교병원의학박물관,서울특별시,장소,문화시설,기타전시/박물관
이형아트센터,서울특별시,장소,문화시설,기타전시/박물관
한국금융사박물관,서울특별시,장소,문화시설,기타전시/박물관
종이미술박물관,서울특별시,장소,문화시설,기타전시/박물관
유비쿼터스전시관,서울특별시,장소,문화시설,기타전시/박물관
김영섭사진화랑,서울특별시,장소,문화시설,기타전시/박물관
자연염색박물관,대구광역시,장소,문화시설,기타전시/박물관
우리소리극장,서울특별시,장소,문화시설,공연/연극/문화센터
간드락소극장,제주특별자치도,장소,문화시설,공연/연극/문화센터
곤이랑아트홀,서울특별시,장소,문화시설,공연/연극/문화센터
경향아트힐,서울특별시,장소,문화시설,공연/연극/문화센터
두레홀1관,서울특별시,장소,문화시설,공연/연극/문화센터
벅수골소극장,경상남도,장소,문화시설,공연/연극/문화센터
삼일로창고극장,서울특별시,장소,문화시설,공연/연극/문화센터
성포예술광장,경기도,장소,문화시설,공연/연극/문화센터
을숙도공원소공연장,부산광역시,장소,문화시설,공연/연극/문화센터
씨어터얼,서울특별시,장소,문화시설,공연/연극/문화센터
원당소극장,경기도,장소,문화시설,공연/연극/문화센터
일출소극장,서울특별시,장소,문화시설,공연/연극/문화센터
파란나비극단,서울특별시,장소,문화시설,공연/연극/문화센터
하나방소극장,서울특별시,장소,문화시설,공연/연극/문화센터
비젼,경기도,장소,문화시설,공연/연극/문화센터
산울림소극장,서울특별시,장소,문화시설,공연/연극/문화센터
삼성극장,강원도,장소,문화시설,공연/연극/문화센터
롯데월드샤롯데씨어터,서울특별시,장소,문화시설,공연/연극/문화센터
암사어린이극장,서울특별시,장소,문화시설,공연/연극/문화센터
세실극장,서울특별시,장소,문화시설,공연/연극/문화센터
