이름,지역,클래스,카테고리,세부분류
번지점프를하다촬영장,전라남도,장소,관광지,드라마/영화촬영지
태백산맥촬영장,전라남도,장소,관광지,드라마/영화촬영지
내마음의풍금촬영장,전라북도,장소,관광지,드라마/영화촬영지
태양을삼켜라세트장,제주특별자치도,장소,관광지,드라마/영화촬영지
선덕여왕촬영지,경상북도,장소,관광지,드라마/영화촬영지
마파도영화촬영지,전라남도,장소,관광지,드라마/영화촬영지
봄의왈츠촬영지,전라남도,장소,관광지,드라마/영화촬영지
디마종합촬영소,경기도,장소,관광지,드라마/영화촬영지
청춘불패촬영지,강원도,장소,관광지,드라마/영화촬영지
김해가야테마파크,경상남도,장소,관광지,드라마/영화촬영지
신데렐라언니촬영지,경기도,장소,관광지,드라마/영화촬영지
인생은아름다워촬영지,제주특별자치도,장소,관광지,드라마/영화촬영지
카인과아벨촬영지,충청북도,장소,관광지,드라마/영화촬영지
제빵왕김탁구촬영지,충청북도,장소,관광지,드라마/영화촬영지
구서도역영상촬영장,전라북도,장소,관광지,드라마/영화촬영지
겨울연가촬영지,서울특별시,장소,관광지,드라마/영화촬영지
해양드라마세트장,경상남도,장소,관광지,드라마/영화촬영지
후토스야외촬영장,경상북도,장소,관광지,드라마/영화촬영지
건축학개론촬영지,제주특별자치도,장소,관광지,드라마/영화촬영지
SBS드라마드림세트장,부산광역시,장소,관광지,드라마/영화촬영지
KBS제천촬영장,충청북도,장소,관광지,드라마/영화촬영지
설악씨네라마,강원도,장소,관광지,드라마/영화촬영지
바람의나라세트장,전라남도,장소,관광지,드라마/영화촬영지
가을동화촬영지,강원도,장소,관광지,드라마/영화촬영지
영화외출촬영지,강원도,장소,관광지,드라마/영화촬영지
영화외출촬영지,강원도,장소,관광지,드라마/영화촬영지
감자꽃사진촬영장,강원도,장소,관광지,드라마/영화촬영지
레드카펫촬영장,경상북도,장소,관광지,드라마/영화촬영지
수통대장금촬영지,충청남도,장소,관광지,드라마/영화촬영지
토지촬영지,경상남도,장소,관광지,드라마/영화촬영지
서울1945촬영지,경상남도,장소,관광지,드라마/영화촬영지
해변의여인촬영지,충청남도,장소,관광지,드라마/영화촬영지
천국의계단촬영지,인천광역시,장소,관광지,드라마/영화촬영지
상도촬영지,경상북도,장소,관광지,드라마/영화촬영지
신의촬영지,경기도,장소,관광지,드라마/영화촬영지
가을동화촬영지,강원도,장소,관광지,드라마/영화촬영지
영화외출촬영지,강원도,장소,관광지,드라마/영화촬영지
궁드라마촬영지,경상북도,장소,관광지,드라마/영화촬영지
러브레터촬영지,강원도,장소,관광지,드라마/영화촬영지
가은오픈세트장,경상북도,장소,관광지,드라마/영화촬영지
인어공주촬영지,제주특별자치도,장소,관광지,드라마/영화촬영지
아름다운시절영화촬영지,전라북도,장소,관광지,드라마/영화촬영지
장옥정세트장,경기도,장소,관광지,드라마/영화촬영지
학교2013촬영지,경기도,장소,관광지,드라마/영화촬영지
전우치촬영지,경기도,장소,관광지,드라마/영화촬영지
그겨울바람이분다촬영지,강원도,장소,관광지,드라마/영화촬영지
고맙습니다촬영지,전라남도,장소,관광지,드라마/영화촬영지
시크릿가든촬영장,경기도,장소,관광지,드라마/영화촬영지
드라마하우스,울산광역시,장소,관광지,드라마/영화촬영지
삼여전망대,경상남도,장소,관광지,드라마/영화촬영지
더그림,경기도,장소,관광지,드라마/영화촬영지
소향촌,경기도,장소,관광지,드라마/영화촬영지
KBS드라마정도전촬영지,충청북도,장소,관광지,드라마/영화촬영지
환상의커플철수네집촬영지,경상남도,장소,관광지,드라마/영화촬영지
영화밀양촬영지,경상남도,장소,관광지,드라마/영화촬영지
금강송드라마세트장,경상북도,장소,관광지,드라마/영화촬영지
드라마영광의재인촬영지,충청북도,장소,관광지,드라마/영화촬영지
태양의후예촬영지,강원도,장소,관광지,드라마/영화촬영지
별에서온그대촬영지,경상남도,장소,관광지,드라마/영화촬영지
죽성성당,부산광역시,장소,관광지,드라마/영화촬영지
겨울연가촬영지,강원도,장소,관광지,드라마/영화촬영지
워낭소리부부의집,경상북도,장소,관광지,드라마/영화촬영지
TVN선다방촬영지,서울특별시,장소,관광지,드라마/영화촬영지
아스달연대기드라마세트장,경기도,장소,관광지,드라마/영화촬영지
도깨비촬영지,강원도,장소,관광지,드라마/영화촬영지
다모드라마촬영지,경기도,장소,관광지,드라마/영화촬영지
연개소문촬영지,경상북도,장소,관광지,드라마/영화촬영지
웰컴투동막골촬영지,강원도,장소,관광지,드라마/영화촬영지
